Name," Platform",Author,Category,Created,ISBN,Importance,Last,Price,Progress,Rating,🏢 Publisher
陶庵梦忆,京东 (Reading/Platform/%E4%BA%AC%E4%B8%9C%20991081d220754871a65ea5285ec56e3b.md),张岱 (Reading/Author/%E5%BC%A0%E5%B2%B1%202ded3d2cc63a4bbe801323dfcd7cc7ba.md),"小品 (Reading/Category/%E5%B0%8F%E5%93%81%2037e0b2be8e6a4a0b89b27c594bf9cff6.md), 经典 (Reading/Category/%E7%BB%8F%E5%85%B8%20e210ce3838764a44bf39c141b13e0070.md)","September 22, 2023 10:27 AM",9787532528684,1,"July 27, 2024 11:33 AM",25.9,2,10,上海古籍出版社 (Reading/Publisher/%E4%B8%8A%E6%B5%B7%E5%8F%A4%E7%B1%8D%E5%87%BA%E7%89%88%E7%A4%BE%20ddddd076ca3e4a528d9eafdb6c7815f6.md)
经典常谈,拼多多 (Reading/Platform/%E6%8B%BC%E5%A4%9A%E5%A4%9A%20db19793d87f549c3ba08ccdb17b42c9e.md),朱自清 (Reading/Author/%E6%9C%B1%E8%87%AA%E6%B8%85%20446209aad14f48e4af96ba9bf9bd295d.md),国学 (Reading/Category/%E5%9B%BD%E5%AD%A6%201a4e5ee48605434199b479f4204a0599.md),"September 22, 2023 10:27 AM",9787555410249,1,"July 27, 2024 11:29 AM",7.21,100,10,广陵书社 (Reading/Publisher/%E5%B9%BF%E9%99%B5%E4%B9%A6%E7%A4%BE%208678b8a331334157b8f75d1806474c02.md)
朱自清散文精选,京东 (Reading/Platform/%E4%BA%AC%E4%B8%9C%20991081d220754871a65ea5285ec56e3b.md),朱自清 (Reading/Author/%E6%9C%B1%E8%87%AA%E6%B8%85%20446209aad14f48e4af96ba9bf9bd295d.md),散文 (Reading/Category/%E6%95%A3%E6%96%87%20d94c81dc272b4510b64387a9402d125c.md),"September 22, 2023 10:27 AM",9787519009779,1,"July 27, 2024 11:31 AM",9.1,100,7,中国文联出版社 (Reading/Publisher/%E4%B8%AD%E5%9B%BD%E6%96%87%E8%81%94%E5%87%BA%E7%89%88%E7%A4%BE%20733311d93c8a47daa5115bac2c978824.md)
猎人笔记（售出）,实体店 (Reading/Platform/%E5%AE%9E%E4%BD%93%E5%BA%97%205868c9fad9164dabbe7be33e9dce6f0f.md),屠格涅夫 (Reading/Author/%E5%B1%A0%E6%A0%BC%E6%B6%85%E5%A4%AB%20d55de7c9158f4d8283bd17fc1fed0c6e.md),短篇 (Reading/Category/%E7%9F%AD%E7%AF%87%207cecd2c07ba6415e84f853878c8539bf.md),"September 22, 2023 11:20 AM",9787540210809,0.5,"August 5, 2024 11:16 AM",0,-1,8,北京燕山出版社 (Reading/Publisher/%E5%8C%97%E4%BA%AC%E7%87%95%E5%B1%B1%E5%87%BA%E7%89%88%E7%A4%BE%20c4af9675fc2740d6a4e5f62e410e95a0.md)
围城（售出）,淘宝 (Reading/Platform/%E6%B7%98%E5%AE%9D%20c7f52ce2740b41f98aef55e4ce0688de.md),钱钟书 (Reading/Author/%E9%92%B1%E9%92%9F%E4%B9%A6%20c944b0b06de54a66ae2b69dc35134407.md),长篇 (Reading/Category/%E9%95%BF%E7%AF%87%206b4e322679ec4c5e98aaa5526375f168.md),"September 22, 2023 11:43 AM",9787020098095,0.2,"August 5, 2024 11:19 AM",7,-1,10,人民文学出版社 (Reading/Publisher/%E4%BA%BA%E6%B0%91%E6%96%87%E5%AD%A6%E5%87%BA%E7%89%88%E7%A4%BE%208f33d507688c4765a90194e25a9bf0b7.md)
我与地坛,拼多多 (Reading/Platform/%E6%8B%BC%E5%A4%9A%E5%A4%9A%20db19793d87f549c3ba08ccdb17b42c9e.md),史铁生 (Reading/Author/%E5%8F%B2%E9%93%81%E7%94%9F%200af92875f75441de86a09c0c166c678d.md),散文 (Reading/Category/%E6%95%A3%E6%96%87%20d94c81dc272b4510b64387a9402d125c.md),"September 22, 2023 11:48 AM",9787020135639,1,"July 27, 2024 11:33 AM",10,30,7,人民文学出版社 (Reading/Publisher/%E4%BA%BA%E6%B0%91%E6%96%87%E5%AD%A6%E5%87%BA%E7%89%88%E7%A4%BE%208f33d507688c4765a90194e25a9bf0b7.md)
文化苦旅,淘宝 (Reading/Platform/%E6%B7%98%E5%AE%9D%20c7f52ce2740b41f98aef55e4ce0688de.md),余秋雨 (Reading/Author/%E4%BD%99%E7%A7%8B%E9%9B%A8%20bcbafbcee9ea4997bc19702705cb9da4.md),散文 (Reading/Category/%E6%95%A3%E6%96%87%20d94c81dc272b4510b64387a9402d125c.md),"September 22, 2023 11:50 AM",9787806276983,1,"July 27, 2024 11:33 AM",9,30,6,东方出版中心 (Reading/Publisher/%E4%B8%9C%E6%96%B9%E5%87%BA%E7%89%88%E4%B8%AD%E5%BF%83%20b6c1598ca57f45debf06f953e448c5b1.md)
三体1地球往事,赠送 (Reading/Platform/%E8%B5%A0%E9%80%81%20455e7d509df3444ebf2c9c50269c654b.md),刘慈欣 (Reading/Author/%E5%88%98%E6%85%88%E6%AC%A3%20b3d5c304005c4e81acc9d950911338b2.md),长篇 (Reading/Category/%E9%95%BF%E7%AF%87%206b4e322679ec4c5e98aaa5526375f168.md),"September 22, 2023 11:51 AM",9787536692930,1,"July 27, 2024 11:31 AM",,100,7,重庆出版社 (Reading/Publisher/%E9%87%8D%E5%BA%86%E5%87%BA%E7%89%88%E7%A4%BE%207c1434d0d4a64b189b6d25bb6a8682f9.md)
三体2黑暗森林,赠送 (Reading/Platform/%E8%B5%A0%E9%80%81%20455e7d509df3444ebf2c9c50269c654b.md),刘慈欣 (Reading/Author/%E5%88%98%E6%85%88%E6%AC%A3%20b3d5c304005c4e81acc9d950911338b2.md),长篇 (Reading/Category/%E9%95%BF%E7%AF%87%206b4e322679ec4c5e98aaa5526375f168.md),"September 22, 2023 11:51 AM",9787536693968,1,"July 27, 2024 11:28 AM",,100,10,重庆出版社 (Reading/Publisher/%E9%87%8D%E5%BA%86%E5%87%BA%E7%89%88%E7%A4%BE%207c1434d0d4a64b189b6d25bb6a8682f9.md)
三体3死神永生,赠送 (Reading/Platform/%E8%B5%A0%E9%80%81%20455e7d509df3444ebf2c9c50269c654b.md),刘慈欣 (Reading/Author/%E5%88%98%E6%85%88%E6%AC%A3%20b3d5c304005c4e81acc9d950911338b2.md),长篇 (Reading/Category/%E9%95%BF%E7%AF%87%206b4e322679ec4c5e98aaa5526375f168.md),"September 22, 2023 11:51 AM",9787229030933,1,"July 27, 2024 11:31 AM",,100,7,重庆出版社 (Reading/Publisher/%E9%87%8D%E5%BA%86%E5%87%BA%E7%89%88%E7%A4%BE%207c1434d0d4a64b189b6d25bb6a8682f9.md)
